ID;Subject_ID;Hierarchy_Level;School Code;Tests Taken;Score=1;Score=2;Score=3;Score=4;Score=5;% Score 1-2;% Score 3-5
172;0;0;01640505;     488;      52;      83;     148;     125;      80;  27,7;  72,3
173;0;0;04680505;     142;       7;      11;      24;      43;      57;  12,7;  87,3
174;0;0;01650505;     594;     101;     136;     159;     113;      85;  39,9;  60,1
175;0;0;06980510;     349;      13;      49;     106;     105;      76;  17,8;  82,2
176;0;0;01670505;     553;      33;      90;     151;     176;     103;  22,2;  77,8
177;0;0;01680505;     677;      72;     135;     191;     177;     102;  30,6;  69,4
178;0;0;01700505;     359;      82;      97;      93;      51;      36;  49,9;  50,1
179;0;0;01710505;     520;      36;     101;     185;     119;      79;  26,3;  73,7
180;0;0;07000505;     323;      53;      71;      84;      81;      34;  38,4;  61,6
181;0;0;07050505;     437;      14;      41;     117;     150;     115;  12,6;  87,4
182;0;0;01720505;     246;      57;      58;      75;      46;      10;  46,7;  53,3
183;0;0;04690505;     304;     157;      74;      48;      20;       5;  76,0;  24,0
184;0;0;01740505;     158;      18;      20;      44;      43;      33;  24,1;  75,9
185;0;0;01750505;     538;      46;      81;     155;     148;     108;  23,6;  76,4
186;0;0;01760505;     332;      34;      43;      98;      89;      68;  23,2;  76,8
187;0;0;01770505;     568;      66;     129;     147;     118;     108;  34,3;  65,7
188;0;0;01780505;     747;      94;     190;     190;     180;      93;  38,0;  62,0
189;0;0;07100510;     368;      24;      63;      91;     103;      87;  23,6;  76,4
190;0;0;01810505;     570;      99;     130;     193;     111;      37;  40,2;  59,8
191;0;0;01820505;     253;      49;      63;      69;      49;      23;  44,3;  55,7
192;0;0;01850505;     458;     101;     125;     129;      75;      28;  49,3;  50,7
193;0;0;01860505;     130;      18;      30;      46;      30;       6;  36,9;  63,1
194;0;0;01870505;     194;      37;      31;      47;      43;      36;  35,1;  64,9
195;0;0;01890505;     819;      51;      85;     219;     294;     170;  16,6;  83,4
196;0;0;08300605;      67;      18;      18;      18;       6;       7;  53,7;  46,3
197;0;0;07170505;      53;       0;      16;      18;      15;       4;  30,2;  69,8
198;0;0;07120515;     317;      53;      95;      97;      52;      20;  46,7;  53,3
199;0;0;01910505;      23;       7;       6;       6;       3;       1;  56,5;  43,5
200;0;0;08320605;     244;      34;      72;      80;      40;      18;  43,4;  56,6
201;0;0;07150505;     352;      43;      66;     108;      84;      51;  31,0;  69,0
202;0;0;01970505;     164;      27;      39;      48;      30;      20;  40,2;  59,8
203;0;0;07200505;     101;      27;      39;      25;       8;       2;  65,3;  34,7
204;0;0;07250505;     460;      34;      69;     112;     150;      95;  22,4;  77,6
205;0;0;08520605;      77;      36;      25;      12;       3;       1;  79,2;  20,8
206;0;0;01980505;   1053;      29;      93;     227;     328;     376;  11,6;  88,4
207;0;0;06600505;     501;      41;      90;     154;     134;      82;  26,1;  73,9
208;0;0;01990505;     958;      20;      78;     194;     299;     367;  10,2;  89,8
209;0;0;04440205;      90;      51;      22;      16;       1;       0;  81,1;  18,9
210;0;0;02010505;     553;      95;     147;     172;      92;      47;  43,8;  56,2
211;0;0;02040505;     416;      17;      59;     124;     140;      76;  18,3;  81,7
212;0;0;02070505;   1237;      55;     165;     275;     369;     373;  17,8;  82,2
213;0;0;02070510;   1118;      35;     115;     234;     347;     387;  13,4;  86,6
214;0;0;09150705;      11;       0;       6;       2;       3;       0;  54,5;  45,5
215;0;0;02090505;     179;     103;      36;      34;       5;       1;  77,7;  22,3
216;0;0;02110505;     543;      40;     101;     159;     146;      97;  26,0;  74,0
217;0;0;02120505;     573;      44;     122;     162;     161;      84;  29,0;  71,0
218;0;0;02150505;      29;       8;      16;       4;       1;       0;  82,8;  17,2
219;0;0;07350505;     204;      18;      52;      69;      41;      24;  34,3;  65,7
220;0;0;02170505;     319;      15;      48;      65;     117;      74;  19,7;  80,3
221;0;0;02100505;     484;      31;     106;     147;     131;      69;  28,3;  71,7
222;0;0;04060705;      61;      41;      13;       5;       2;       0;  88,5;  11,5
223;0;0;07300505;     962;      56;      91;     224;     284;     307;  15,3;  84,7
224;0;0;02140505;     158;      27;      30;      46;      31;      24;  36,1;  63,9
