"id";"subject_id";"hierarchy_level";"School Code";"Tests Taken";"Score=1";"Score=2";"Score=3";"Score=4";"Score=5";"% Score 1-2";"% Score 3-5"
68;0;0;460505;1109;9;66;225;316;493;6.8;93.2
69;0;0;480505;462;70;89;106;111;86;34.4;65.6
70;0;0;490506;841;53;111;209;209;259;19.5;80.5
71;0;0;500505;500;48;110;149;128;65;31.6;68.4
72;0;0;8150605;58;3;32;18;5;0;60.3;39.7
73;0;0;520405;130;30;35;32;26;7;50.0;50.0
74;0;0;6350505;157;25;56;42;27;7;51.6;48.4
75;0;0;560505;552;42;111;187;140;72;27.7;72.3
76;0;0;570505;367;120;116;67;42;22;64.3;35.7
78;0;0;610510;225;46;78;55;32;14;55.1;44.9
79;0;0;610505;122;17;41;46;13;5;47.5;52.5
80;0;0;4370505;27;16;8;3;0;0;88.9;11.1
81;0;0;640505;167;66;39;36;18;8;62.9;37.1
82;0;0;4380505;61;59;2;0;0;0;100.0;0.0
83;0;0;650505;409;34;49;107;105;114;20.3;79.7
84;0;0;35030205;33;6;13;8;4;2;57.6;42.4
85;0;0;4360305;69;23;22;13;6;5;65.2;34.8
86;0;0;6400505;783;15;59;138;263;308;9.5;90.5
87;0;0;710505;486;90;142;119;99;36;47.7;52.3
88;0;0;720505;550;65;112;159;140;74;32.2;67.8
89;0;0;730505;382;63;76;109;78;56;36.4;63.6
90;0;0;6450505;315;55;93;74;70;23;47.0;53.0
91;0;0;6500505;197;15;49;58;49;26;32.5;67.5
92;0;0;770505;157;17;47;54;30;9;40.8;59.2
93;0;0;6550505;534;1;26;105;183;219;5.1;94.9
94;0;0;790505;265;42;83;73;51;16;47.2;52.8
95;0;0;6580505;325;66;62;79;72;46;39.4;60.6
96;0;0;820505;749;98;145;222;167;117;32.4;67.6
97;0;0;830505;268;40;73;90;48;17;42.2;57.8
98;0;0;870505;335;40;77;92;76;50;34.9;65.1
99;0;0;860505;167;25;38;64;21;19;37.7;62.3
100;0;0;880505;575;27;102;161;171;114;22.4;77.6
101;0;0;4520505;101;47;43;8;2;1;89.1;10.9
102;0;0;8170505;148;17;31;43;36;21;32.4;67.6
103;0;0;930505;476;136;136;133;43;28;57.1;42.9
104;0;0;4100205;768;321;190;156;72;29;66.5;33.5
105;0;0;940505;275;35;69;87;54;30;37.8;62.2
106;0;0;950505;614;148;196;188;54;28;56.0;44.0
107;0;0;960505;372;32;73;100;95;72;28.2;71.8
108;0;0;970505;520;203;147;101;38;31;67.3;32.7
110;0;0;990505;480;35;106;148;123;68;29.4;70.6
111;0;0;4460550;255;58;69;76;34;18;49.8;50.2
112;0;0;1000515;924;69;138;233;272;212;22.4;77.6
113;0;0;4780505;20;0;2;8;6;4;10.0;90.0
114;0;0;1010505;1157;90;201;345;297;224;25.2;74.8
115;0;0;8180605;51;15;21;12;3;0;70.6;29.4
116;0;0;6650505;365;15;58;116;116;60;20.0;80.0
117;0;0;6700505;157;1;26;47;38;45;17.2;82.8
118;0;0;1030505;67;17;22;17;6;5;58.2;41.8
119;0;0;6720505;40;6;12;11;8;3;45.0;55.0
120;0;0;1050505;99;3;11;21;39;25;14.1;85.9
121;0;0;6740505;21;2;7;1;8;3;42.9;57.1
123;0;0;1070505;246;58;58;63;40;27;47.2;52.8
124;0;0;1100505;337;26;51;90;122;48;22.8;77.2
125;0;0;1110505;50;9;19;12;8;2;56.0;44.0
126;0;0;39010900;11;2;1;2;3;3;27.3;72.7
127;0;0;8210605;114;32;44;29;7;2;66.7;33.3
128;0;0;8280605;223;62;79;56;21;5;63.2;36.8
129;0;0;8250605;104;35;32;20;17;0;64.4;35.6
130;0;0;1140505;96;14;25;35;15;7;40.6;59.4
131;0;0;6730505;335;20;66;87;84;78;25.7;74.3
132;0;0;1170505;44;6;12;12;9;5;40.9;59.1
133;0;0;6750505;331;17;37;107;98;72;16.3;83.7
134;0;0;4990305;192;44;44;46;37;21;45.8;54.2
136;0;0;6800505;298;24;49;85;86;54;24.5;75.5
137;0;0;6830505;157;7;32;46;49;23;24.8;75.2
138;0;0;1220505;428;26;73;134;139;56;23.1;76.9
139;0;0;1250505;237;5;9;41;77;105;5.9;94.1
140;0;0;1270505;18;2;9;6;1;0;61.1;38.9
141;0;0;1280505;406;60;119;104;81;42;44.1;55.9
142;0;0;1310505;588;7;29;144;184;224;6.1;93.9
